number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8129148629148629,2026-09-19 22:13:52.950817,2026-09-19 22:14:20.508027,0 days 00:00:27.557210,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8138528138528138,2026-09-19 22:14:20.508027,2026-09-19 22:14:39.485279,0 days 00:00:18.977252,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6454545454545455,2026-09-19 22:14:39.485279,2026-09-19 22:14:48.339807,0 days 00:00:08.854528,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.836002886002886,2026-09-19 22:14:48.339807,2026-09-19 22:15:20.786255,0 days 00:00:32.446448,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.6541125541125541,2026-09-19 22:15:20.786255,2026-09-19 22:15:28.390455,0 days 00:00:07.604200,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.6013708513708513,2026-09-19 22:15:28.390455,2026-09-19 22:15:32.805548,0 days 00:00:04.415093,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.8272005772005773,2026-09-19 22:15:32.805548,2026-09-19 22:16:02.334274,0 days 00:00:29.528726,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.861976911976912,2026-09-19 22:16:02.334274,2026-09-19 22:16:23.286995,0 days 00:00:20.952721,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.7999278499278499,2026-09-19 22:16:23.286995,2026-09-19 22:16:50.195505,0 days 00:00:26.908510,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.8142857142857143,2026-09-19 22:16:50.195505,2026-09-19 22:17:05.729089,0 days 00:00:15.533584,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
