Name,Source,Rows,OriginalRows,AugmentedRows,XYZFeatures,CoefFeatures,MeshVariant,CoefficientVariant,XYZFile,CoefFile,ProvenanceStatus
ALL_Left_train,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\ALL_Left\train,298,298,0,3006,507,ellalign,ellalign,ALL_Left_train_xyz_coords.csv,ALL_Left_train_coef_features.csv,missing
ALL_Left_test,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\ALL_Left\test,75,75,0,3006,507,ellalign,ellalign,ALL_Left_test_xyz_coords.csv,ALL_Left_test_coef_features.csv,missing
ALL_Left_balanced,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\ALL_Left\train\balanced,1902,298,1604,3006,507,ellalign,ellalign,ALL_Left_balanced_xyz_coords.csv,ALL_Left_balanced_coef_features.csv,missing
ALL_Right_train,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\ALL_Right\train,302,302,0,3006,507,ellalign,ellalign,ALL_Right_train_xyz_coords.csv,ALL_Right_train_coef_features.csv,missing
ALL_Right_test,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\ALL_Right\test,75,75,0,3006,507,ellalign,ellalign,ALL_Right_test_xyz_coords.csv,ALL_Right_test_coef_features.csv,missing
ALL_Right_balanced,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\ALL_Right\train\balanced,2200,302,1898,3006,507,ellalign,ellalign,ALL_Right_balanced_xyz_coords.csv,ALL_Right_balanced_coef_features.csv,missing
Ds004469_Left_train,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\Ds004469_Left\train,54,54,0,3006,507,ellalign,ellalign,Ds004469_Left_train_xyz_coords.csv,Ds004469_Left_train_coef_features.csv,missing
Ds004469_Left_test,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\Ds004469_Left\test,12,12,0,3006,507,ellalign,ellalign,Ds004469_Left_test_xyz_coords.csv,Ds004469_Left_test_coef_features.csv,missing
Ds004469_Left_balanced,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\Ds004469_Left\train\balanced,362,54,308,3006,507,ellalign,ellalign,Ds004469_Left_balanced_xyz_coords.csv,Ds004469_Left_balanced_coef_features.csv,missing
Ds004469_Right_train,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\Ds004469_Right\train,53,53,0,3006,507,ellalign,ellalign,Ds004469_Right_train_xyz_coords.csv,Ds004469_Right_train_coef_features.csv,missing
Ds004469_Right_test,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\Ds004469_Right\test,12,12,0,3006,507,ellalign,ellalign,Ds004469_Right_test_xyz_coords.csv,Ds004469_Right_test_coef_features.csv,missing
Ds004469_Right_balanced,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\Ds004469_Right\train\balanced,420,53,367,3006,507,ellalign,ellalign,Ds004469_Right_balanced_xyz_coords.csv,Ds004469_Right_balanced_coef_features.csv,missing
Ds005602_Left_train,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\Ds005602_Left\train,244,244,0,3006,507,ellalign,ellalign,Ds005602_Left_train_xyz_coords.csv,Ds005602_Left_train_coef_features.csv,missing
Ds005602_Left_test,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\Ds005602_Left\test,63,63,0,3006,507,ellalign,ellalign,Ds005602_Left_test_xyz_coords.csv,Ds005602_Left_test_coef_features.csv,missing
Ds005602_Left_balanced,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\Ds005602_Left\train\balanced,1540,244,1296,3006,507,ellalign,ellalign,Ds005602_Left_balanced_xyz_coords.csv,Ds005602_Left_balanced_coef_features.csv,missing
Ds005602_Right_train,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\Ds005602_Right\train,249,249,0,3006,507,ellalign,ellalign,Ds005602_Right_train_xyz_coords.csv,Ds005602_Right_train_coef_features.csv,missing
Ds005602_Right_test,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\Ds005602_Right\test,63,63,0,3006,507,ellalign,ellalign,Ds005602_Right_test_xyz_coords.csv,Ds005602_Right_test_coef_features.csv,missing
Ds005602_Right_balanced,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\SPHARM\split_data\Ds005602_Right\train\balanced,1780,249,1531,3006,507,ellalign,ellalign,Ds005602_Right_balanced_xyz_coords.csv,Ds005602_Right_balanced_coef_features.csv,missing
