Theta,Radius,Area
0,4.94369e-16,0
0.0317333,0.0149353,0.000607131
0.0634665,0.0296794,0.00239548
0.0951998,0.0440546,0.00527225
0.126933,0.057914,0.00910202
0.158666,0.071151,0.0137299
0.1904,0.0837042,0.0190043
0.222133,0.0955561,0.024794
0.253866,0.106727,0.0309966
0.285599,0.117264,0.0375368
0.317333,0.12723,0.0443592
0.349066,0.136688,0.051417
0.380799,0.145692,0.058661
0.412532,0.154279,0.0660318
0.444266,0.162462,0.0734544
0.475999,0.170231,0.0808369
0.507732,0.177555,0.0880716
0.539465,0.184386,0.0950415
0.571199,0.190672,0.101631
0.602932,0.196362,0.107746
0.634665,0.201419,0.113331
0.666398,0.205827,0.118383
0.698132,0.209598,0.122954
0.729865,0.212775,0.127131
0.761598,0.215428,0.131006
0.793331,0.217642,0.134649
0.825065,0.219513,0.138099
0.856798,0.22113,0.141355
0.888531,0.222561,0.144396
0.920265,0.22385,0.147182
0.951998,0.225001,0.149666
0.983731,0.225984,0.151793
1.01546,0.226735,0.153496
1.0472,0.227163,0.154682
1.07893,0.227163,0.155225
1.11066,0.226628,0.154971
1.1424,0.225467,0.153762
1.17413,0.223614,0.151482
1.20586,0.221044,0.14809
1.2376,0.217786,0.143649
1.26933,0.213923,0.138329
1.30106,0.209599,0.132395
1.3328,0.205011,0.126174
1.36453,0.200396,0.120014
1.39626,0.196008,0.114241
1.428,0.192088,0.109108
1.45973,0.188837,0.104765
1.49146,0.186391,0.101238
1.5232,0.184807,0.0984461
1.55493,0.184073,0.0962624
1.58666,0.184115,0.094591
1.6184,0.184822,0.0934265
1.65013,0.186061,0.0928925
1.68186,0.18768,0.0931458
1.7136,0.189517,0.0940053
1.74533,0.191404,0.0951431
1.77706,0.19317,0.0962256
1.8088,0.194666,0.0969307
1.84053,0.195778,0.0970093
1.87226,0.196445,0.0963382
1.904,0.196667,0.0949371
1.93573,0.196501,0.0929505
1.96746,0.196055,0.09061
1.9992,0.195465,0.0881951
2.03093,0.194882,0.085996
2.06266,0.194453,0.0842798
2.0944,0.1943,0.08326
2.12613,0.194517,0.0830628
2.15786,0.195155,0.0836827
2.18959,0.196226,0.085006
2.22133,0.197692,0.0868971
2.25306,0.199471,0.089228
2.28479,0.201434,0.09186
2.31653,0.20341,0.0946275
2.34826,0.205201,0.0973294
2.37999,0.206593,0.0997348
2.41173,0.207375,0.101602
2.44346,0.207359,0.102706
2.47519,0.20639,0.102855
2.50693,0.204358,0.101913
2.53866,0.201203,0.099805
2.57039,0.196914,0.0965227
2.60213,0.191522,0.0921226
2.63386,0.185094,0.0867215
2.66559,0.17772,0.0804847
2.69733,0.169506,0.0736094
2.72906,0.160558,0.0663062
2.76079,0.150974,0.0587804
2.79253,0.140835,0.0512188
2.82426,0.130203,0.0437826
2.85599,0.11911,0.0366063
2.88773,0.107571,0.029803
2.91946,0.0955817,0.0234709
2.95119,0.0831321,0.0177022
2.98293,0.070217,0.0125887
3.01466,0.0568476,0.00822499
3.04639,0.0430605,0.00470545
3.07813,0.0289222,0.00211773
3.10986,0.0145289,0.000533538
3.14159,1.29572e-15,5.65135e-18
