Theta,Radius,Area
0,1.00917e-15,0
0.0317333,0.0129417,0.000493744
0.0634665,0.0258717,0.00196925
0.0951998,0.0387643,0.0044068
0.126933,0.0515853,0.00776637
0.158666,0.0642912,0.0119812
0.1904,0.0768313,0.0169559
0.222133,0.0891517,0.0225715
0.253866,0.101201,0.0286998
0.285599,0.112935,0.0352221
0.317333,0.124323,0.0420477
0.349066,0.135342,0.0491246
0.380799,0.145982,0.0564381
0.412532,0.156236,0.063996
0.444266,0.166098,0.0718076
0.475999,0.17556,0.0798628
0.507732,0.18461,0.0881207
0.539465,0.193236,0.0965098
0.571199,0.201421,0.104938
0.602932,0.209149,0.113306
0.634665,0.2164,0.121517
0.666398,0.223146,0.12948
0.698132,0.229357,0.137115
0.729865,0.234993,0.144347
0.761598,0.240017,0.151115
0.793331,0.244394,0.15737
0.825065,0.248101,0.163076
0.856798,0.251133,0.168193
0.888531,0.253507,0.172669
0.920265,0.255261,0.176451
0.951998,0.25645,0.179492
0.983731,0.257139,0.181779
1.01546,0.2574,0.183338
1.0472,0.257296,0.184238
1.07893,0.256879,0.184576
1.11066,0.256179,0.184446
1.1424,0.255205,0.183905
1.17413,0.253936,0.182945
1.20586,0.252331,0.181492
1.2376,0.250327,0.179417
1.26933,0.247856,0.176565
1.30106,0.244853,0.172795
1.3328,0.241273,0.168021
1.36453,0.237105,0.162251
1.39626,0.232382,0.15561
1.428,0.22719,0.148331
1.45973,0.221664,0.140729
1.49146,0.215983,0.133154
1.5232,0.210358,0.125934
1.55493,0.20501,0.119338
1.58666,0.200158,0.113548
1.6184,0.195992,0.108651
1.65013,0.192656,0.104643
1.68186,0.190235,0.101457
1.7136,0.188737,0.0990038
1.74533,0.1881,0.0971933
1.77706,0.188192,0.0959381
1.8088,0.188828,0.095148
1.84053,0.18979,0.0947194
1.87226,0.190852,0.0944994
1.904,0.191804,0.0942589
1.93573,0.192476,0.0937773
1.96746,0.192757,0.0929119
1.9992,0.192599,0.0916128
2.03093,0.192025,0.0899223
2.06266,0.191118,0.0879618
2.0944,0.190004,0.0859038
2.12613,0.188837,0.0839333
2.15786,0.187772,0.0822135
2.18959,0.186948,0.0808692
2.22133,0.186467,0.0799859
2.25306,0.186384,0.0796153
2.28479,0.186698,0.0797771
2.31653,0.18735,0.0804559
2.34826,0.188234,0.0815928
2.37999,0.189198,0.0830791
2.41173,0.190062,0.0847514
2.44346,0.190632,0.0863952
2.47519,0.190718,0.0877605
2.50693,0.190141,0.0885869
2.53866,0.188752,0.0886327
2.57039,0.186438,0.0877023
2.60213,0.183124,0.0856674
2.63386,0.178775,0.0824795
2.66559,0.17339,0.0781718
2.69733,0.167,0.0728514
2.72906,0.159652,0.0666845
2.76079,0.151408,0.0598785
2.79253,0.14233,0.0526627
2.82426,0.132475,0.0452714
2.85599,0.121888,0.0379299
2.88773,0.110604,0.0308449
2.91946,0.0986511,0.0241988
2.95119,0.0860533,0.0181473
2.98293,0.0728418,0.0128193
3.01466,0.0590623,0.00831954
3.04639,0.0447828,0.00473132
3.07813,0.0300968,0.00211964
3.10986,0.015123,0.000532498
3.14159,8.9138e-16,7.12172e-17
