Theta,Radius,Area
0,2.37245e-16,0
0.0317333,0.014306,0.000511435
0.0634665,0.0286617,0.0020482
0.0951998,0.0431015,0.00461626
0.126933,0.0576386,0.00822119
0.158666,0.0722575,0.0128629
0.1904,0.0869108,0.0185302
0.222133,0.101519,0.025195
0.253866,0.115976,0.0328067
0.285599,0.130151,0.041285
0.317333,0.143905,0.0505109
0.349066,0.157095,0.0603188
0.380799,0.169588,0.0704941
0.412532,0.18127,0.0807823
0.444266,0.19206,0.0909117
0.475999,0.201914,0.100627
0.507732,0.210831,0.109728
0.539465,0.218852,0.118095
0.571199,0.226053,0.125706
0.602932,0.232533,0.132628
0.634665,0.238406,0.138993
0.666398,0.243781,0.144965
0.698132,0.24875,0.150705
0.729865,0.253381,0.156345
0.761598,0.257712,0.161976
0.793331,0.261751,0.167642
0.825065,0.26548,0.17335
0.856798,0.268867,0.179073
0.888531,0.271869,0.184751
0.920265,0.274442,0.190291
0.951998,0.276549,0.195571
0.983731,0.278165,0.200451
1.01546,0.279274,0.204782
1.0472,0.27987,0.20842
1.07893,0.279953,0.211229
1.11066,0.279531,0.213091
1.1424,0.278608,0.213915
1.17413,0.277189,0.213646
1.20586,0.275278,0.212269
1.2376,0.272877,0.209813
1.26933,0.26999,0.206342
1.30106,0.266627,0.201944
1.3328,0.262807,0.196717
1.36453,0.258561,0.190769
1.39626,0.253938,0.184212
1.428,0.249007,0.177179
1.45973,0.243859,0.169837
1.49146,0.238609,0.162391
1.5232,0.233389,0.155072
1.55493,0.228341,0.148115
1.58666,0.223607,0.141711
1.6184,0.219314,0.135982
1.65013,0.215565,0.130972
1.68186,0.212425,0.12667
1.7136,0.209922,0.123034
1.74533,0.208046,0.120001
1.77706,0.206757,0.117482
1.8088,0.205991,0.115357
1.84053,0.205671,0.113491
1.87226,0.205708,0.111743
1.904,0.206005,0.109985
1.93573,0.206456,0.10811
1.96746,0.206949,0.106041
1.9992,0.207368,0.103739
2.03093,0.207604,0.101201
2.06266,0.207564,0.0984733
2.0944,0.207185,0.0956477
2.12613,0.206437,0.0928664
2.15786,0.205331,0.0903082
2.18959,0.203911,0.0881713
2.22133,0.202253,0.0866605
2.25306,0.20045,0.085615
2.28479,0.1986,0.0848697
2.31653,0.196795,0.0843677
2.34826,0.19511,0.0841505
2.37999,0.19359,0.0842234
2.41173,0.19224,0.0845678
2.44346,0.191017,0.0851227
2.47519,0.18983,0.0857889
2.50693,0.188542,0.0864077
2.53866,0.186977,0.086754
2.57039,0.184941,0.0865752
2.60213,0.182237,0.0856385
2.63386,0.178683,0.0837621
2.66559,0.17413,0.0808313
2.69733,0.168474,0.0768077
2.72906,0.16166,0.071731
2.76079,0.153685,0.0657138
2.79253,0.144588,0.0589303
2.82426,0.134447,0.0516007
2.85599,0.123366,0.0439739
2.88773,0.111464,0.0363111
2.91946,0.0988639,0.0288707
2.95119,0.0856883,0.0218966
2.98293,0.0720488,0.0156097
3.01466,0.0580457,0.0102015
3.04639,0.0437669,0.00583065
3.07813,0.0292889,0.00262063
3.10986,0.0146793,0.000659531
3.14159,1.322e-15,5.31095e-18
