Theta,Radius,Area
0,2.5172e-16,0
0.0317333,0.0150216,0.000557317
0.0634665,0.0300537,0.00223311
0.0951998,0.0450929,0.00503807
0.126933,0.0601184,0.00898646
0.158666,0.0750853,0.0140892
0.1904,0.0899206,0.0203421
0.222133,0.104521,0.0277113
0.253866,0.118752,0.0361162
0.285599,0.132453,0.045414
0.317333,0.145441,0.0553861
0.349066,0.157521,0.06573
0.380799,0.168497,0.0760622
0.412532,0.178187,0.0859392
0.444266,0.186436,0.0948962
0.475999,0.193136,0.102501
0.507732,0.198235,0.108411
0.539465,0.201751,0.112423
0.571199,0.203767,0.114497
0.602932,0.204434,0.114764
0.634665,0.20396,0.113492
0.666398,0.202593,0.111047
0.698132,0.200602,0.10784
0.729865,0.198258,0.104277
0.761598,0.195812,0.100718
0.793331,0.193483,0.0974429
0.825065,0.191438,0.0946371
0.856798,0.18979,0.0923846
0.888531,0.188597,0.0906877
0.920265,0.187867,0.0894999
0.951998,0.187573,0.0887601
0.983731,0.187661,0.0884147
1.01546,0.188059,0.0884263
1.0472,0.188679,0.0887717
1.07893,0.189429,0.0894276
1.11066,0.190208,0.0903503
1.1424,0.190922,0.0914864
1.17413,0.191485,0.0927812
1.20586,0.191829,0.0941755
1.2376,0.19192,0.0956251
1.26933,0.19176,0.0971144
1.30106,0.191395,0.0986585
1.3328,0.190915,0.100301
1.36453,0.190443,0.102108
1.39626,0.190123,0.104137
1.428,0.190096,0.106399
1.45973,0.190487,0.10884
1.49146,0.191393,0.111402
1.5232,0.192873,0.114073
1.55493,0.194956,0.1169
1.58666,0.197641,0.119957
1.6184,0.200906,0.123313
1.65013,0.204707,0.127011
1.68186,0.208979,0.13106
1.7136,0.213641,0.135458
1.74533,0.218589,0.140212
1.77706,0.223701,0.145341
1.8088,0.228836,0.150823
1.84053,0.233835,0.156551
1.87226,0.238537,0.162162
1.904,0.242791,0.16748
1.93573,0.246468,0.171973
1.96746,0.249475,0.175341
1.9992,0.251756,0.177466
2.03093,0.253297,0.178263
2.06266,0.25412,0.177735
2.0944,0.254278,0.176002
2.12613,0.253847,0.173267
2.15786,0.252917,0.169755
2.18959,0.251583,0.165821
2.22133,0.249928,0.161851
2.25306,0.248021,0.158249
2.28479,0.245906,0.154416
2.31653,0.2436,0.150328
2.34826,0.241095,0.146012
2.37999,0.238359,0.141507
2.41173,0.235341,0.136854
2.44346,0.231976,0.132085
2.47519,0.228188,0.127195
2.50693,0.223896,0.122136
2.53866,0.219021,0.116816
2.57039,0.213492,0.111125
2.60213,0.207252,0.104963
2.63386,0.200263,0.0982702
2.66559,0.192507,0.0910427
2.69733,0.18399,0.0833384
2.72906,0.174732,0.075268
2.76079,0.164765,0.066979
2.79253,0.154122,0.0586338
2.82426,0.142835,0.0503895
2.85599,0.130923,0.0423834
2.88773,0.118402,0.0347314
2.91946,0.105283,0.0275373
2.95119,0.09158,0.0209071
2.98293,0.0773217,0.0149594
3.01466,0.0625528,0.00982627
3.04639,0.0473398,0.00564601
3.07813,0.0317702,0.00254918
3.10986,0.0159504,0.000643497
3.14159,3.47372e-16,6.93889e-18
