Theta,Radius,Area
0,7.91916e-16,0
0.0317333,0.0136817,0.00053595
0.0634665,0.0272178,0.00212238
0.0951998,0.0404738,0.00469751
0.126933,0.0533439,0.00816633
0.158666,0.0657602,0.0124115
0.1904,0.0776967,0.0173062
0.222133,0.0891667,0.022727
0.253866,0.100214,0.0285635
0.285599,0.110899,0.0347241
0.317333,0.121282,0.0411346
0.349066,0.131408,0.047732
0.380799,0.141289,0.0544535
0.412532,0.150895,0.0612225
0.444266,0.160152,0.0679373
0.475999,0.168944,0.0744624
0.507732,0.177126,0.0806294
0.539465,0.184542,0.0862467
0.571199,0.191043,0.0911201
0.602932,0.196512,0.0950795
0.634665,0.200877,0.0980071
0.666398,0.20413,0.0998596
0.698132,0.206324,0.10068
0.729865,0.207576,0.100596
0.761598,0.208055,0.0998141
0.793331,0.207961,0.0985896
0.825065,0.207507,0.0971964
0.856798,0.206892,0.095883
0.888531,0.206287,0.094834
0.920265,0.205814,0.0941539
0.951998,0.205539,0.0938735
0.983731,0.20547,0.0939654
1.01546,0.205565,0.0943597
1.0472,0.205738,0.0949616
1.07893,0.205884,0.095672
1.11066,0.205887,0.0964084
1.1424,0.205649,0.0971127
1.17413,0.2051,0.0977455
1.20586,0.204217,0.0983012
1.2376,0.203026,0.0988208
1.26933,0.201609,0.0993206
1.30106,0.200093,0.0998233
1.3328,0.198642,0.100371
1.36453,0.197442,0.101022
1.39626,0.196678,0.101865
1.428,0.196521,0.103145
1.45973,0.197108,0.104965
1.49146,0.198532,0.107369
1.5232,0.20083,0.110494
1.55493,0.203977,0.114464
1.58666,0.207889,0.119347
1.6184,0.212425,0.12513
1.65013,0.217405,0.131687
1.68186,0.222617,0.13878
1.7136,0.227846,0.146087
1.74533,0.232887,0.15324
1.77706,0.237564,0.159881
1.8088,0.241742,0.165701
1.84053,0.245339,0.170479
1.87226,0.248318,0.174094
1.904,0.250692,0.176533
1.93573,0.252511,0.177885
1.96746,0.253846,0.178322
1.9992,0.254784,0.17807
2.03093,0.25541,0.177372
2.06266,0.255794,0.176439
2.0944,0.255988,0.175412
2.12613,0.256015,0.174336
2.15786,0.255873,0.173165
2.18959,0.255534,0.171784
2.22133,0.254949,0.17004
2.25306,0.254054,0.167774
2.28479,0.252781,0.164846
2.31653,0.251062,0.161169
2.34826,0.248838,0.156718
2.37999,0.246064,0.151542
2.41173,0.242714,0.14575
2.44346,0.238777,0.139483
2.47519,0.234254,0.132877
2.50693,0.22915,0.126032
2.53866,0.223473,0.118993
2.57039,0.217221,0.11176
2.60213,0.210386,0.104312
2.63386,0.20295,0.0966343
2.66559,0.194889,0.0887356
2.69733,0.186176,0.0806525
2.72906,0.17679,0.0724474
2.76079,0.166713,0.0642024
2.79253,0.155936,0.0560115
2.82426,0.144465,0.0479755
2.85599,0.132314,0.0401977
2.88773,0.119508,0.0327837
2.91946,0.106084,0.0258431
2.95119,0.0920907,0.0194908
2.98293,0.0775843,0.0138467
3.01466,0.0626323,0.00903101
3.04639,0.0473108,0.00515561
3.07813,0.0317037,0.00231568
3.10986,0.0159017,0.00058258
3.14159,8.87633e-16,2.77556e-17
