Theta,Radius,Area
0,9.99255e-16,0
0.0317333,0.0152867,0.000680319
0.0634665,0.0304845,0.00267691
0.0951998,0.0454991,0.00586853
0.126933,0.0602481,0.010089
0.158666,0.074664,0.0151698
0.1904,0.0886948,0.0209767
0.222133,0.102302,0.0274273
0.253866,0.115455,0.0344774
0.285599,0.12813,0.0420884
0.317333,0.140299,0.0501923
0.349066,0.15193,0.0586722
0.380799,0.162979,0.067361
0.412532,0.173386,0.0760546
0.444266,0.183075,0.084533
0.475999,0.191954,0.0925794
0.507732,0.199918,0.0999923
0.539465,0.206862,0.106588
0.571199,0.212687,0.112191
0.602932,0.217327,0.116616
0.634665,0.220756,0.119659
0.666398,0.223008,0.121151
0.698132,0.224182,0.121052
0.729865,0.224436,0.119522
0.761598,0.223977,0.116931
0.793331,0.223039,0.113802
0.825065,0.221859,0.110729
0.856798,0.220648,0.108271
0.888531,0.219578,0.106854
0.920265,0.218761,0.106693
0.951998,0.218245,0.10776
0.983731,0.218019,0.109836
1.01546,0.218017,0.112622
1.0472,0.218134,0.115797
1.07893,0.218241,0.119044
1.11066,0.218206,0.122063
1.1424,0.217912,0.124594
1.17413,0.217278,0.126453
1.20586,0.216277,0.127561
1.2376,0.214941,0.127956
1.26933,0.213366,0.127782
1.30106,0.211705,0.127268
1.3328,0.210153,0.126698
1.36453,0.208931,0.126387
1.39626,0.208262,0.12664
1.428,0.208352,0.127725
1.45973,0.209367,0.129845
1.49146,0.211418,0.133141
1.5232,0.214544,0.137689
1.55493,0.218707,0.143507
1.58666,0.22379,0.150529
1.6184,0.229604,0.158591
1.65013,0.235909,0.16742
1.68186,0.242433,0.176647
1.7136,0.248905,0.185842
1.74533,0.255072,0.194581
1.77706,0.260726,0.202513
1.8088,0.265714,0.20942
1.84053,0.269949,0.215238
1.87226,0.273408,0.22003
1.904,0.276125,0.223924
1.93573,0.278179,0.227045
1.96746,0.279679,0.22947
1.9992,0.280745,0.231225
2.03093,0.281494,0.232304
2.06266,0.282019,0.232698
2.0944,0.282384,0.232412
2.12613,0.282612,0.231471
2.15786,0.282688,0.229913
2.18959,0.282559,0.227778
2.22133,0.282143,0.225089
2.25306,0.281339,0.221829
2.28479,0.280033,0.217932
2.31653,0.278116,0.213275
2.34826,0.275487,0.207703
2.37999,0.272062,0.201075
2.41173,0.267781,0.193312
2.44346,0.262609,0.184449
2.47519,0.25654,0.174627
2.50693,0.249595,0.164058
2.53866,0.241817,0.152977
2.57039,0.233265,0.141601
2.60213,0.224006,0.1301
2.63386,0.214107,0.118596
2.66559,0.203625,0.107168
2.69733,0.192603,0.0958722
2.72906,0.18107,0.0847658
2.76079,0.169049,0.0739196
2.79253,0.156556,0.0634254
2.82426,0.143618,0.0533925
2.85599,0.130267,0.0439384
2.88773,0.116548,0.0351795
2.91946,0.102517,0.0272236
2.95119,0.0882317,0.0201658
2.98293,0.0737523,0.0140868
3.01466,0.0591322,0.00905038
3.04639,0.0444166,0.00510214
3.07813,0.0296402,0.00227006
3.10986,0.0148286,0.000567747
3.14159,1.46086e-15,5.06831e-17
