Theta,Radius,Area
0,6.81002e-16,0
0.0317333,0.0166934,0.00063469
0.0634665,0.0332578,0.00252697
0.0951998,0.049572,0.00564379
0.126933,0.0655334,0.00993567
0.158666,0.0810616,0.0153395
0.1904,0.0960964,0.0217761
0.222133,0.110593,0.0291442
0.253866,0.124511,0.0373114
0.285599,0.137808,0.0461071
0.317333,0.150433,0.0553181
0.349066,0.162316,0.064689
0.380799,0.173375,0.0739292
0.412532,0.183512,0.0827276
0.444266,0.192624,0.0907732
0.475999,0.200608,0.097781
0.507732,0.207374,0.103518
0.539465,0.212855,0.107827
0.571199,0.217017,0.110641
0.602932,0.219867,0.111988
0.634665,0.221463,0.111985
0.666398,0.221912,0.110822
0.698132,0.221371,0.108736
0.729865,0.220039,0.105995
0.761598,0.218141,0.102877
0.793331,0.215917,0.0996553
0.825065,0.213598,0.0966837
0.856798,0.21139,0.0940457
0.888531,0.209455,0.0918585
0.920265,0.207901,0.0902485
0.951998,0.206776,0.0893344
0.983731,0.206067,0.0891686
1.01546,0.20571,0.0896166
1.0472,0.205604,0.0905675
1.07893,0.205631,0.0918897
1.11066,0.205679,0.0934427
1.1424,0.20566,0.0950992
1.17413,0.205526,0.0967844
1.20586,0.205275,0.0985116
1.2376,0.204953,0.100369
1.26933,0.204647,0.102407
1.30106,0.20447,0.10457
1.3328,0.204553,0.106775
1.36453,0.205034,0.10899
1.39626,0.206048,0.111261
1.428,0.207721,0.113713
1.45973,0.21016,0.116559
1.49146,0.213436,0.120084
1.5232,0.217566,0.124595
1.55493,0.2225,0.130147
1.58666,0.228116,0.136746
1.6184,0.234225,0.144332
1.65013,0.24059,0.152714
1.68186,0.246958,0.161586
1.7136,0.253082,0.170562
1.74533,0.258754,0.179231
1.77706,0.263817,0.187209
1.8088,0.268174,0.194183
1.84053,0.271793,0.19995
1.87226,0.274694,0.204422
1.904,0.276941,0.207635
1.93573,0.278623,0.209724
1.96746,0.27984,0.210892
1.9992,0.280687,0.211375
2.03093,0.281239,0.211392
2.06266,0.281543,0.211102
2.0944,0.281612,0.210571
2.12613,0.281425,0.209759
2.15786,0.280931,0.208538
2.18959,0.28006,0.206732
2.22133,0.278733,0.204173
2.25306,0.276878,0.200751
2.28479,0.274438,0.196448
2.31653,0.271384,0.191341
2.34826,0.267717,0.185572
2.37999,0.263463,0.179316
2.41173,0.258667,0.172737
2.44346,0.253378,0.165962
2.47519,0.247641,0.159058
2.50693,0.241479,0.152026
2.53866,0.234888,0.144809
2.57039,0.227836,0.137313
2.60213,0.220262,0.129423
2.63386,0.212088,0.121034
2.66559,0.203227,0.11207
2.69733,0.193604,0.10251
2.72906,0.183164,0.0924033
2.76079,0.171885,0.0818734
2.79253,0.159786,0.0711138
2.82426,0.146926,0.060369
2.85599,0.1334,0.0499105
2.88773,0.119325,0.0400093
2.91946,0.104835,0.0309103
2.95119,0.0900582,0.022813
2.98293,0.0751095,0.0158603
3.01466,0.0600804,0.0101396
3.04639,0.0450336,0.00569115
3.07813,0.0300025,0.00252364
3.10986,0.0149949,0.000629859
3.14159,2.60101e-16,3.49215e-17
