Theta,Radius,Area
0,4.34942e-16,0
0.0317333,0.0142275,0.000550408
0.0634665,0.0284941,0.00220709
0.0951998,0.0428232,0.00498255
0.126933,0.0572207,0.00888611
0.158666,0.0716684,0.0139104
0.1904,0.0861204,0.0200186
0.222133,0.100503,0.0271369
0.253866,0.114719,0.0351528
0.285599,0.128654,0.0439219
0.317333,0.142182,0.0532798
0.349066,0.155182,0.0630558
0.380799,0.16754,0.0730851
0.412532,0.179164,0.0832149
0.444266,0.18998,0.093306
0.475999,0.199944,0.103232
0.507732,0.209035,0.112879
0.539465,0.217254,0.122145
0.571199,0.224623,0.130948
0.602932,0.231177,0.139225
0.634665,0.23696,0.146933
0.666398,0.242023,0.154054
0.698132,0.246418,0.160584
0.729865,0.2502,0.16654
0.761598,0.253423,0.171952
0.793331,0.256138,0.176855
0.825065,0.258393,0.181283
0.856798,0.26023,0.18525
0.888531,0.261681,0.188745
0.920265,0.262765,0.191729
0.951998,0.263487,0.19414
0.983731,0.263842,0.195906
1.01546,0.263808,0.196956
1.0472,0.263359,0.197228
1.07893,0.262462,0.196676
1.11066,0.261085,0.195265
1.1424,0.259196,0.192972
1.17413,0.256776,0.189784
1.20586,0.253812,0.185694
1.2376,0.250309,0.180719
1.26933,0.246291,0.174905
1.30106,0.241804,0.168343
1.3328,0.236923,0.161178
1.36453,0.231748,0.153607
1.39626,0.226406,0.145869
1.428,0.221045,0.138224
1.45973,0.215821,0.130929
1.49146,0.210893,0.124212
1.5232,0.206401,0.118253
1.55493,0.202466,0.113156
1.58666,0.199177,0.108941
1.6184,0.196598,0.105563
1.65013,0.194763,0.102947
1.68186,0.193686,0.101018
1.7136,0.193356,0.0997024
1.74533,0.193732,0.098932
1.77706,0.194738,0.0986299
1.8088,0.196257,0.0987018
1.84053,0.198139,0.0990372
1.87226,0.200212,0.0995198
1.904,0.202305,0.100036
1.93573,0.204261,0.100471
1.96746,0.205959,0.100714
1.9992,0.207318,0.100665
2.03093,0.208304,0.100258
2.06266,0.208926,0.0994722
2.0944,0.209229,0.0983391
2.12613,0.209286,0.0969424
2.15786,0.209185,0.0954189
2.18959,0.209016,0.0939446
2.22133,0.208861,0.0927002
2.25306,0.20878,0.0918401
2.28479,0.208797,0.0915661
2.31653,0.208902,0.0917879
2.34826,0.209042,0.0925223
2.37999,0.209129,0.093743
2.41173,0.209045,0.0954066
2.44346,0.208654,0.0970603
2.47519,0.207803,0.0984503
2.50693,0.206341,0.0993318
2.53866,0.204118,0.0994584
2.57039,0.200998,0.0985966
2.60213,0.196867,0.0965529
2.63386,0.191638,0.0932032
2.66559,0.18526,0.0885155
2.69733,0.177722,0.0825599
2.72906,0.169053,0.0755046
2.76079,0.159322,0.0675989
2.79253,0.148631,0.0591468
2.82426,0.137102,0.050476
2.85599,0.12487,0.0419066
2.88773,0.112067,0.0337254
2.91946,0.0988172,0.0261677
2.95119,0.0852234,0.0194101
2.98293,0.0713689,0.0135728
3.01466,0.0573171,0.00873128
3.04639,0.0431166,0.00493031
3.07813,0.0288067,0.00219736
3.10986,0.0144229,0.000550288
3.14159,6.62348e-16,2.05444e-17
