Theta,Radius,Area
0,4.85177e-16,0
0.0317333,0.0150643,0.000567305
0.0634665,0.0299327,0.00223406
0.0951998,0.0444245,0.00490315
0.126933,0.0583905,0.0084375
0.158666,0.0717229,0.0126873
0.1904,0.0843591,0.0175126
0.222133,0.0962794,0.022795
0.253866,0.107499,0.0284374
0.285599,0.11806,0.0343574
0.317333,0.128015,0.0404798
0.349066,0.13742,0.0467342
0.380799,0.146326,0.0530564
0.412532,0.154768,0.0593931
0.444266,0.162763,0.065705
0.475999,0.17031,0.0719659
0.507732,0.177385,0.0781538
0.539465,0.183947,0.0842363
0.571199,0.189942,0.0901565
0.602932,0.195315,0.0958283
0.634665,0.200018,0.10115
0.666398,0.204024,0.106029
0.698132,0.207339,0.110416
0.729865,0.210006,0.114319
0.761598,0.212111,0.117803
0.793331,0.213767,0.120972
0.825065,0.215108,0.123943
0.856798,0.216267,0.12682
0.888531,0.217351,0.129673
0.920265,0.218433,0.13252
0.951998,0.219531,0.135323
0.983731,0.220617,0.137995
1.01546,0.221619,0.140409
1.0472,0.222437,0.142421
1.07893,0.222956,0.14388
1.11066,0.223067,0.144636
1.1424,0.222675,0.144557
1.17413,0.221712,0.14355
1.20586,0.220145,0.14158
1.2376,0.217979,0.138687
1.26933,0.215261,0.134989
1.30106,0.212073,0.13068
1.3328,0.208531,0.125999
1.36453,0.204773,0.121191
1.39626,0.200952,0.116467
1.428,0.19722,0.111968
1.45973,0.193722,0.107759
1.49146,0.190582,0.103846
1.5232,0.187893,0.100198
1.55493,0.185714,0.0967787
1.58666,0.184068,0.0935931
1.6184,0.182942,0.0907102
1.65013,0.182299,0.0881447
1.68186,0.182084,0.0858095
1.7136,0.182234,0.0836477
1.74533,0.182679,0.0816534
1.77706,0.183348,0.0798566
1.8088,0.184165,0.0783154
1.84053,0.185056,0.0771006
1.87226,0.18595,0.0762624
1.904,0.186786,0.0757941
1.93573,0.187525,0.0756262
1.96746,0.18815,0.0756535
1.9992,0.188667,0.0757666
2.03093,0.189098,0.0758733
2.06266,0.189473,0.0759058
2.0944,0.189814,0.0758194
2.12613,0.190133,0.0755897
2.15786,0.190425,0.0752208
2.18959,0.190669,0.0747669
2.22133,0.190832,0.0743348
2.25306,0.190875,0.074017
2.28479,0.190755,0.0739019
2.31653,0.190431,0.0740068
2.34826,0.189863,0.0742961
2.37999,0.189012,0.0746928
2.41173,0.187843,0.075138
2.44346,0.18632,0.0756331
2.47519,0.184405,0.0760868
2.50693,0.18206,0.0762381
2.53866,0.179245,0.0759259
2.57039,0.175915,0.0750331
2.60213,0.172027,0.0734685
2.63386,0.167531,0.0711644
2.66559,0.162378,0.068078
2.69733,0.156522,0.0641954
2.72906,0.149919,0.0595385
2.76079,0.142534,0.0541726
2.79253,0.134341,0.0482119
2.82426,0.125332,0.041821
2.85599,0.115512,0.0352099
2.88773,0.104907,0.0286221
2.91946,0.0935602,0.0223139
2.95119,0.081533,0.0165294
2.98293,0.0689014,0.0114735
3.01466,0.0557535,0.00729089
3.04639,0.0421861,0.00405645
3.07813,0.0283013,0.00178244
3.10986,0.014204,0.000441835
3.14159,5.82502e-16,2.17179e-18
